id;trait;name;quest_bonus
230;PURIFICATION;Skybound Demeter's Scythe;15
231;PURIFICATION;Mercuris Artemis' Bow;13
232;CHAOS;Golden Hades' Bident;20
233;AURORA;Emerald Ares' Spear;25
234;CHAOS;Atlantis Hades' Bident;19
235;CONJUNCTION;Skybound Apollo's Lyre;28
236;PURIFICATION;Golden Demeter's Scythe;13
237;REFLECTION;Atlantis Artemis' Bow;31
238;CHAOS;Golden Zeus' Thunderbolt;17
239;CHAOS;Emerald Hephaestus' Hammer;18
240;CHAOS;Golden Zeus' Thunderbolt;19
241;AURORA;Emerald Hera's Staff;21
242;CONJUNCTION;Emerald Hermes' Wings;26
243;PURIFICATION;Amethyst Zeus' Thunderbolt;11
244;AURORA;Transcendent Athena's Spear;22
245;CHAOS;Golden Demeter's Scythe;19
246;CHAOS;Mercuris Hermes' Wings;18
247;AURORA;Golden Hermes' Wings;24
248;CONJUNCTION;Skybound Artemis' Quiver;28
249;PURIFICATION;Golden The Aegis;15
250;AURORA;Coral Demeter's Scythe;24
251;PURIFICATION;Adamantine Hephaestus' Hammer;14
252;AURORA;Mythic Poseidon's Trident;21
253;CHAOS;Coral Apollo's Lyre;19
254;PURIFICATION;Mercuris Artemis' Quiver;15
255;CHAOS;Amethyst Hephaestus' Hammer;19
256;AURORA;Coral Hermes' Wings;22
257;AURORA;Adamantine Poseidon's Trident;23
258;CHAOS;Emerald The Aegis;18
259;CHAOS;Skybound Artemis' Bow;17
260;PURIFICATION;Skybound Hephaestus' Hammer;14
261;ASTRAL;Emerald Artemis' Bow;36
262;PURIFICATION;Atlantis Artemis' Quiver;11
263;PURIFICATION;Coral Hephaestus' Hammer;12
264;AURORA;Atlantis Hera's Staff;25
265;PURIFICATION;Mythic The Aegis;12
266;CHAOS;Coral Hera's Staff;17
267;CHAOS;Toxic The Aegis;17
268;PURIFICATION;Toxic Athena's Spear;16
269;CHAOS;Atlantis Hermes' Wings;19
270;CHAOS;Agno Hermes' Wings;18
271;CHAOS;Adamantine Hades' Bident;20
272;CHAOS;Amethyst Artemis' Bow;20
273;CHAOS;Emerald Hephaestus' Hammer;20
274;CHAOS;Mercuris Hermes' Wings;18
275;AURORA;Toxic Zeus' Thunderbolt;24
276;CHAOS;Skybound Artemis' Quiver;17
277;AURORA;Coral Hera's Staff;22
278;CHAOS;Coral The Aegis;20
279;ASTRAL;Emerald Apollo's Lyre;39
280;AURORA;Golden Athena's Spear;22
281;PURIFICATION;Golden Ares' Spear;10
282;CHAOS;Mythic Ares' Spear;20
283;CHAOS;Coral Hera's Staff;17
284;AURORA;Golden Artemis' Bow;25
285;PURIFICATION;Coral Artemis' Quiver;11
286;PURIFICATION;Transcendent Hades' Bident;10
287;PURIFICATION;Amethyst Zeus' Thunderbolt;14
288;PURIFICATION;Agno Ares' Sword;11
289;PURIFICATION;Adamantine Hermes' Wings;13
290;CHAOS;Skybound Artemis' Bow;20
291;CONJUNCTION;Skybound Poseidon's Trident;29
292;PURIFICATION;Golden Artemis' Bow;15
293;CHAOS;Coral Apollo's Lyre;19
294;CHAOS;Golden Apollo's Lyre;17
295;PURIFICATION;Toxic Ares' Spear;10
296;PURIFICATION;Mercuris Hermes' Wings;14
297;CHAOS;Golden Poseidon's Trident;17
298;CONJUNCTION;Amethyst Hephaestus' Hammer;28
299;PURIFICATION;Atlantis Apollo's Lyre;15
300;CONJUNCTION;Coral Artemis' Quiver;27
301;AURORA;Skybound Artemis' Bow;23
302;PURIFICATION;Mercuris Ares' Spear;14
303;CHAOS;Atlantis Athena's Spear;18
304;PURIFICATION;Agno Artemis' Bow;16
305;PURIFICATION;Amethyst Artemis' Bow;15
306;PURIFICATION;Mercuris Apollo's Lyre;12
307;CHAOS;Transcendent Athena's Spear;17
308;PURIFICATION;Transcendent Demeter's Scythe;11
309;AURORA;Mythic Artemis' Bow;25
310;CONJUNCTION;Mythic Ares' Spear;27
311;AURORA;Adamantine The Aegis;23
312;PURIFICATION;Transcendent Hera's Staff;10
313;ASTRAL;Amethyst Zeus' Thunderbolt;38
314;PURIFICATION;Amethyst Athena's Spear;15
315;PURIFICATION;Mercuris Hermes' Wings;16
316;CHAOS;Agno Artemis' Quiver;19
317;AURORA;Atlantis Hera's Staff;24
318;AURORA;Skybound Hephaestus' Hammer;25
319;CHAOS;Amethyst Ares' Spear;20
320;AURORA;Atlantis Athena's Spear;25
321;PURIFICATION;Transcendent Hermes' Wings;15
322;PURIFICATION;Mythic Ares' Spear;15
323;CONJUNCTION;Adamantine Hera's Staff;30
324;AURORA;Mercuris Apollo's Lyre;23
325;REFLECTION;Adamantine Ares' Spear;34
326;PURIFICATION;Golden Demeter's Scythe;14
327;PURIFICATION;Skybound Demeter's Scythe;11
328;PURIFICATION;Golden Hades' Bident;12
329;CHAOS;Skybound Hera's Staff;20
330;CHAOS;Skybound Artemis' Quiver;17
331;AURORA;Adamantine Artemis' Quiver;25
332;PURIFICATION;Emerald Poseidon's Trident;15
333;CHAOS;Adamantine Hermes' Wings;18
334;PURIFICATION;Skybound Athena's Spear;14
335;AURORA;Coral Hades' Bident;21
336;CHAOS;Skybound Apollo's Lyre;17
337;CHAOS;Transcendent Ares' Spear;19
338;AURORA;Toxic Apollo's Lyre;25
339;CHAOS;Adamantine Hermes' Wings;20
340;CHAOS;Adamantine Demeter's Scythe;19
341;PURIFICATION;Toxic Apollo's Lyre;11
342;PURIFICATION;Agno Poseidon's Trident;13
343;CONJUNCTION;Amethyst Hades' Bident;27
344;AURORA;Adamantine Hera's Staff;21
345;PURIFICATION;Golden The Aegis;16
346;PURIFICATION;Transcendent Demeter's Scythe;10
347;AURORA;Mythic Zeus' Thunderbolt;21
348;CHAOS;Coral Hades' Bident;19
349;CHAOS;Skybound Poseidon's Trident;17
350;CHAOS;Emerald Artemis' Quiver;20
351;PURIFICATION;Atlantis Ares' Spear;15
352;PURIFICATION;Amethyst Hades' Bident;16
353;AURORA;Skybound Hephaestus' Hammer;24
354;PURIFICATION;Golden Ares' Sword;12
355;PURIFICATION;Mythic Artemis' Quiver;14
356;PURIFICATION;Mythic Poseidon's Trident;11
357;CHAOS;Amethyst Demeter's Scythe;17
358;AURORA;Mythic Ares' Spear;21
359;CONJUNCTION;Mythic Poseidon's Trident;26
360;AURORA;Amethyst Artemis' Bow;25
361;AURORA;Emerald Artemis' Bow;24
362;PURIFICATION;Mythic Hera's Staff;12
363;AURORA;Golden Artemis' Bow;22
364;PURIFICATION;Skybound Hera's Staff;11
365;PURIFICATION;Skybound Hera's Staff;16
366;CHAOS;Emerald Zeus' Thunderbolt;17
367;PURIFICATION;Mercuris Hephaestus' Hammer;10
368;CONJUNCTION;Adamantine Demeter's Scythe;30
369;CHAOS;Coral Hades' Bident;17
370;CHAOS;Skybound Apollo's Lyre;20
371;AURORA;Golden Ares' Sword;23
372;CHAOS;Adamantine Apollo's Lyre;17
373;PURIFICATION;Skybound Zeus' Thunderbolt;14
374;PURIFICATION;Golden Ares' Sword;12
375;PURIFICATION;Golden Demeter's Scythe;12
376;PURIFICATION;Amethyst Hermes' Wings;11
377;PURIFICATION;Atlantis Zeus' Thunderbolt;15
378;CHAOS;Adamantine Hephaestus' Hammer;18
379;PURIFICATION;Emerald Artemis' Quiver;14
380;CONJUNCTION;Adamantine Artemis' Quiver;28
381;CHAOS;Emerald Poseidon's Trident;18
382;CONJUNCTION;Golden Hermes' Wings;28
383;AURORA;Amethyst Zeus' Thunderbolt;24
384;AURORA;Adamantine Athena's Spear;21
385;CHAOS;Skybound Artemis' Quiver;18
386;PURIFICATION;Mercuris Artemis' Bow;16
387;AURORA;Amethyst Hades' Bident;24
388;CHAOS;Skybound Demeter's Scythe;19
389;CONJUNCTION;Atlantis Ares' Sword;30
390;CHAOS;Atlantis Athena's Spear;18
391;CHAOS;Amethyst Zeus' Thunderbolt;20
392;PURIFICATION;Golden Hades' Bident;11
393;AURORA;Emerald Hera's Staff;25
394;PURIFICATION;Toxic Artemis' Bow;13
395;CONJUNCTION;Golden Ares' Spear;27
396;PURIFICATION;Skybound Hades' Bident;10
397;CONJUNCTION;Toxic Apollo's Lyre;26
398;AURORA;Coral Athena's Spear;22
399;CHAOS;Adamantine Athena's Spear;20
400;AURORA;Golden Ares' Spear;23
401;PURIFICATION;Coral Athena's Spear;11
402;AURORA;Mythic Poseidon's Trident;23
403;PURIFICATION;Agno Hera's Staff;12
404;PURIFICATION;Golden Athena's Spear;10
405;AURORA;Mythic The Aegis;25
406;CONJUNCTION;Emerald Hera's Staff;26
407;CONJUNCTION;Skybound Apollo's Lyre;30
408;PURIFICATION;Amethyst Hades' Bident;10
409;CONJUNCTION;Mercuris Zeus' Thunderbolt;26
410;PURIFICATION;Coral Hades' Bident;16
411;AURORA;Golden Hera's Staff;23
412;PURIFICATION;Coral Hera's Staff;15
413;CONJUNCTION;Skybound Artemis' Quiver;27
414;PURIFICATION;Coral Hades' Bident;14
415;PURIFICATION;Atlantis Artemis' Quiver;10
416;PURIFICATION;Transcendent Athena's Spear;13
417;PURIFICATION;Golden Poseidon's Trident;10
418;CONJUNCTION;Coral Ares' Sword;29
419;ASTRAL;Amethyst Demeter's Scythe;40
420;PURIFICATION;Atlantis Ares' Spear;13
421;PURIFICATION;Adamantine Athena's Spear;13
422;AURORA;Atlantis Hera's Staff;22
423;PURIFICATION;Skybound Apollo's Lyre;16
424;AURORA;Atlantis Ares' Sword;25
425;PURIFICATION;Coral Zeus' Thunderbolt;12
426;CHAOS;Skybound Ares' Sword;18
427;AURORA;Adamantine Ares' Sword;22
428;CHAOS;Amethyst Artemis' Bow;19
429;AURORA;Amethyst Demeter's Scythe;25
430;AURORA;Coral Hephaestus' Hammer;25
431;CONJUNCTION;Coral Demeter's Scythe;29
432;AURORA;Adamantine Athena's Spear;25
433;CHAOS;Coral Artemis' Quiver;20
434;CHAOS;Emerald Zeus' Thunderbolt;18
435;AURORA;Emerald The Aegis;24
436;PURIFICATION;Adamantine Demeter's Scythe;15
437;CONJUNCTION;Skybound Artemis' Bow;30
438;PURIFICATION;Amethyst Zeus' Thunderbolt;10
439;CHAOS;Skybound Poseidon's Trident;18
440;AURORA;Coral The Aegis;23
441;PURIFICATION;Golden Zeus' Thunderbolt;10
442;CHAOS;Skybound The Aegis;20
443;PURIFICATION;Skybound Hera's Staff;10
444;AURORA;Transcendent Hades' Bident;24
445;PURIFICATION;Golden Athena's Spear;13
446;PURIFICATION;Mythic Ares' Spear;12
447;AURORA;Mythic Hermes' Wings;25
448;CONJUNCTION;Emerald Artemis' Bow;26
449;PURIFICATION;Mythic Ares' Spear;11
450;CONJUNCTION;Golden Artemis' Quiver;30
451;AURORA;Golden Apollo's Lyre;22
452;CHAOS;Toxic Hermes' Wings;19
453;CONJUNCTION;Atlantis Apollo's Lyre;30
454;AURORA;Agno Artemis' Quiver;25
455;CONJUNCTION;Adamantine Ares' Spear;30
456;CHAOS;Coral Ares' Spear;17
457;PURIFICATION;Mercuris Athena's Spear;11
458;AURORA;Golden Apollo's Lyre;23
459;PURIFICATION;Mercuris Artemis' Bow;14
460;PURIFICATION;Mercuris Hermes' Wings;14
461;CHAOS;Atlantis Zeus' Thunderbolt;20
462;CHAOS;Toxic Demeter's Scythe;17
463;CHAOS;Skybound The Aegis;18
464;CONJUNCTION;Coral Hera's Staff;27
465;CHAOS;Transcendent Hera's Staff;20
466;AURORA;Atlantis Poseidon's Trident;25
467;CHAOS;Coral Artemis' Quiver;20
468;CHAOS;Coral Hermes' Wings;20
469;CHAOS;Adamantine Artemis' Quiver;18
470;CONJUNCTION;Golden Hades' Bident;26
471;CONJUNCTION;Golden Apollo's Lyre;28
472;AURORA;Transcendent Poseidon's Trident;25
473;PURIFICATION;Coral Hermes' Wings;11
474;PURIFICATION;Mercuris Poseidon's Trident;14
475;PURIFICATION;Mythic Hera's Staff;11
476;PURIFICATION;Coral Hephaestus' Hammer;10
477;CHAOS;Transcendent Artemis' Quiver;20
478;CHAOS;Golden Ares' Spear;19
479;REFLECTION;Transcendent Hephaestus' Hammer;35
480;AURORA;Coral Ares' Spear;25
481;AURORA;Amethyst Hermes' Wings;25
482;CONJUNCTION;Coral The Aegis;27
483;CHAOS;Skybound Hephaestus' Hammer;17
484;PURIFICATION;Coral Ares' Sword;13
485;REFLECTION;Coral Hades' Bident;33
486;CHAOS;Adamantine Athena's Spear;20
487;CHAOS;Atlantis Artemis' Quiver;19
488;AURORA;Golden Hera's Staff;21
489;AURORA;Toxic The Aegis;25
490;AURORA;Emerald Ares' Sword;23
491;AURORA;Emerald Apollo's Lyre;25
492;CHAOS;Mercuris Apollo's Lyre;17
493;CHAOS;Golden Hephaestus' Hammer;17
494;CHAOS;Coral Ares' Spear;19
495;AURORA;Golden The Aegis;21
496;REFLECTION;Emerald Hephaestus' Hammer;33
497;CHAOS;Transcendent Hermes' Wings;19
498;CHAOS;Adamantine Zeus' Thunderbolt;20
499;AURORA;Agno Hephaestus' Hammer;25
500;PURIFICATION;Coral Ares' Sword;13
501;PURIFICATION;Amethyst Artemis' Quiver;11
502;CHAOS;Agno Hera's Staff;18
503;AURORA;Golden Poseidon's Trident;23
504;CHAOS;Golden Ares' Spear;17
505;AURORA;Skybound Ares' Spear;22
506;PURIFICATION;Toxic Hades' Bident;12
507;CONJUNCTION;Golden The Aegis;28
508;PURIFICATION;Emerald Athena's Spear;15
509;PURIFICATION;Adamantine Hera's Staff;16
510;AURORA;Golden The Aegis;21
511;AURORA;Skybound Poseidon's Trident;23
512;AURORA;Golden Artemis' Quiver;25
513;CHAOS;Skybound Artemis' Quiver;18
514;CHAOS;Golden Ares' Sword;20
515;AURORA;Coral Ares' Sword;24
516;AURORA;Golden Apollo's Lyre;21
517;CHAOS;Mythic The Aegis;19
518;CHAOS;Skybound Zeus' Thunderbolt;18
519;CHAOS;Adamantine Hera's Staff;17
520;AURORA;Amethyst Hermes' Wings;24
521;PURIFICATION;Mythic Hermes' Wings;13
522;PURIFICATION;Skybound Athena's Spear;11
523;AURORA;Mercuris Artemis' Bow;24
524;CHAOS;Mercuris Artemis' Bow;20
525;CHAOS;Mythic Zeus' Thunderbolt;20
526;PURIFICATION;Adamantine Ares' Spear;13
527;AURORA;Adamantine Hephaestus' Hammer;25
528;PURIFICATION;Adamantine Ares' Spear;14
529;AURORA;Adamantine Hades' Bident;22
530;CHAOS;Amethyst Artemis' Quiver;20
531;CHAOS;Adamantine Hephaestus' Hammer;20
532;PURIFICATION;Amethyst Demeter's Scythe;13
533;AURORA;Amethyst Poseidon's Trident;22
534;CHAOS;Transcendent Artemis' Quiver;17
535;CHAOS;Coral Artemis' Bow;20
536;CHAOS;Golden Hermes' Wings;19
537;PURIFICATION;Golden Apollo's Lyre;11
538;PURIFICATION;Skybound Hephaestus' Hammer;10
539;CHAOS;Mercuris Apollo's Lyre;17
540;CONJUNCTION;Adamantine Hades' Bident;28
541;REFLECTION;Mercuris Artemis' Bow;31
542;CHAOS;Amethyst Ares' Sword;20
543;PURIFICATION;Mythic Athena's Spear;16
544;AURORA;Toxic The Aegis;23
545;PURIFICATION;Atlantis Zeus' Thunderbolt;13
546;PURIFICATION;Adamantine Demeter's Scythe;16
547;CONJUNCTION;Emerald Artemis' Quiver;28
548;PURIFICATION;Toxic Hera's Staff;11
549;PURIFICATION;Toxic Apollo's Lyre;13
550;PURIFICATION;Skybound Artemis' Quiver;16
551;AURORA;Amethyst Hera's Staff;23
552;CHAOS;Agno Artemis' Quiver;17
553;PURIFICATION;Amethyst Hera's Staff;16
554;CONJUNCTION;Atlantis Hephaestus' Hammer;27
555;CONJUNCTION;Golden The Aegis;26
556;PURIFICATION;Transcendent Ares' Spear;11
557;AURORA;Skybound Ares' Spear;25
558;CHAOS;Golden Apollo's Lyre;20
559;AURORA;Amethyst Hermes' Wings;23
560;PURIFICATION;Emerald Ares' Sword;10
561;CONJUNCTION;Atlantis Ares' Sword;27
562;AURORA;Toxic Apollo's Lyre;22
563;PURIFICATION;Mercuris Artemis' Quiver;12
564;PURIFICATION;Adamantine Ares' Sword;13
565;PURIFICATION;Mythic Hera's Staff;11
566;AURORA;Mythic Demeter's Scythe;23
567;AURORA;Emerald Ares' Sword;21
568;PURIFICATION;Emerald Artemis' Quiver;11
569;PURIFICATION;Adamantine Hermes' Wings;14
570;CHAOS;Atlantis Artemis' Bow;20
571;CHAOS;Amethyst Hephaestus' Hammer;18
572;CHAOS;Mythic Ares' Sword;20
573;AURORA;Skybound Apollo's Lyre;23
574;CHAOS;Skybound Ares' Spear;19
575;CHAOS;Mythic Hermes' Wings;20
576;AURORA;Coral Hades' Bident;23
577;AURORA;Agno Zeus' Thunderbolt;22
578;PURIFICATION;Mythic Ares' Spear;14
